Buzz Report,,,,,,,,,,,,,,,,
Start Time,  09:00:00 ,,,,,,,,,,,,,,,
Ticker, Price ,Float,Ments YDay,Ments TDay,Ments Incr,2Hrs Ago,Last Hour,Projected,Aud YDay,Aud TDay,Aud Incr,$10M Float,Float Easy,Ments Strength,Aud Strength,Strength
$mmex, 0.0007 ,"21,339,800,525",0,1,0%,3,1,0,0,200,0%,0,0.13,0,0,0
$expr, 4.9400 ,"63,820,000",1,0,0%,1,0,3,"9,195",0,0%,0.77,0,0,0,0
$tlgt, 0.6082 ,"53,270,000",1,0,0%,1,0,3,"8,389",0,0%,0.11,0,0,0,0
$acst, 0.5655 ,"199,530,000",0,1,0%,3,0,0,0,200,0%,0.03,0.02,0,0,0
$sanp, 0.0026 ,"9,526,361,265",0,1,0%,2,0,0,0,"34,666",34666%,0,14,0,8.2,0
$cyrn, 0.7099 ,"74,940,534",0,2,0%,1,0,0,0,400,0%,0.09,0.08,0,0,0
$phio, 2.0700 ,"13,480,000",2,1,0%,0,0,0,400,200,0%,1.54,0.07,0,0,0
$gsv, 0.6090 ,"276,630,000",1,1,0%,1,0,0,200,200,0%,0.02,0.01,0,0,0
$acer, 3.0000 ,"12,120,000",3,0,0%,0,0,0,"1,064",0,0%,2.48,0,0,0,0
$brpa, -   ,"758,740",3,0,0%,0,0,0,"6,078",0,0%,0,N/A,0,0,0
$dffn, 0.7217 ,"101,720,000",3,0,0%,0,0,0,"16,314",0,0%,0.07,0,0,0,0
$afom, 0.0008 ,"1,120,000,000",2,0,0%,1,0,0,400,0,0%,0,0,0,0,0
$cbdd, 0.0158 ,"3,957,427,444",2,0,0%,1,0,0,"6,904",0,0%,0,0,0,0,0
$gteh, 0.0016 ,"5,895,975,079",0,1,0%,0,1,0,0,200,0%,0,0.21,0,0,0
$ccaj, 0.0034 ,nan,2,0,0%,0,0,0,400,0,0%,N/A,N/A,0,0,0
$cgra, 0.0106 ,"259,063,992",2,0,0%,0,0,0,"7,621",0,0%,0,0,0,0,0
$adxs, 0.5078 ,"114,490,000",1,0,0%,1,0,0,"1,566",0,0%,0.04,0,0,0,0
$abqq, 0.0740 ,"140,430,000",0,1,0%,0,0,0,0,"12,387",12387%,0.01,11.92,0,4,0
$tblt, 0.7200 ,"80,730,000",0,1,0%,0,0,0,0,200,0%,0.09,0.03,0,0,0
$xpl, 0.7218 ,"48,870,000",0,1,0%,0,0,0,0,200,0%,0.15,0.06,0,0,0
$cfms, 0.8900 ,nan,1,0,0%,0,0,0,200,0,0%,N/A,N/A,0,0,0
$gpl, 0.6879 ,"353,060,000",1,0,0%,0,0,0,689,0,0%,0.02,0,0,0,0
$staf, 0.6175 ,"15,810,000",1,0,0%,0,0,0,200,0,0%,0.39,0,0,0,0
$surg, 0.1609 ,"82,810,000",1,0,0%,0,0,0,200,0,0%,0.02,0,0,0,0
$alyi, 0.0384 ,"1,597,740,896",0,0,0%,1,0,0,0,0,0%,0,0,0,0,0
$asrt, 1.8000 ,"170,490,000",0,0,0%,1,0,0,0,0,0%,0.11,0,0,0,0
$benew, 0.5279 ,"14,893,750",0,0,0%,0,1,0,0,0,0%,0.35,0,0,0,0
$clvs, 5.3600 ,"101,890,000",0,0,0%,0,1,0,0,0,0%,0.53,0,0,0,0
$mmmw, 0.0835 ,"118,400,292",0,0,0%,0,1,0,0,0,0%,0.01,0,0,0,0
$aau, 0.5326 ,"130,870,000",0,0,0%,0,0,0,0,0,0%,0.04,0,0,0,0
$abce, 0.0300 ,"17,350,000",0,0,0%,0,0,0,0,0,0%,0.02,0,0,0,0
$amc, 47.9100 ,"447,440,000",0,0,0%,0,0,0,0,0,0%,1.07,0,0,0,0
$azklf, 0.4600 ,"1,280,000,000",0,0,0%,0,0,0,0,0,0%,0,0,0,0,0
$clrbz, -   ,"50,504,064",0,0,0%,0,0,0,0,0,0%,0,N/A,0,0,0
